City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ejea De Los Caballeros,ES,42.1263,-1.1372,79.02,41,69,4.88,broken clouds
80,Soyo,AO,-6.1349,12.3689,70.97,84,28,6.82,scattered clouds
81,Sarankhola,BD,22.3082,89.7897,81.0,86,97,4.0,overcast clouds
82,Brasschaat,BE,51.2915,4.495,69.94,58,0,5.75,clear sky
83,Lebedinyy,RU,58.5167,125.5167,63.99,86,100,5.77,light rain
84,Kapaa,US,22.0752,-159.319,82.38,74,100,5.75,moderate rain
85,Cherskiy,RU,68.75,161.3,53.74,50,7,4.0,clear sky
86,Caxito,AO,-8.5785,13.6643,68.92,88,61,3.13,broken clouds
87,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,65,0,11.5,clear sky
88,Victoria,HK,22.2855,114.1577,87.33,81,100,1.01,overcast clouds
89,Faya,SA,18.3851,42.4509,70.32,56,100,1.39,light rain
90,Lere,NG,10.387,8.5726,69.53,93,100,3.65,light rain
91,Nioki,CD,-2.7167,17.6833,80.98,42,100,1.79,overcast clouds
92,Jiangyou,CN,31.7667,104.7167,74.25,86,0,3.74,clear sky
93,Baracoa,CU,20.3467,-74.4958,84.76,67,71,10.29,broken clouds
94,Nisia Floresta,BR,-6.0911,-35.2086,84.58,80,9,10.16,clear sky
95,Flin Flon,CA,54.7682,-101.865,76.84,27,20,5.75,few clouds
96,Bakel,SN,14.905,-12.4568,88.99,58,90,16.22,overcast clouds
97,Shenkursk,RU,62.1091,42.896,64.94,96,100,6.22,overcast clouds
98,Pangody,RU,65.85,74.4859,58.37,76,24,3.36,few clouds
99,Priargunsk,RU,50.3691,119.1012,57.0,75,0,1.16,clear sky
100,Namibe,AO,-15.1961,12.1522,61.75,85,11,8.1,few clouds
101,Saint-Pierre,RE,-21.3393,55.4781,68.92,78,0,6.91,clear sky
102,Valparaiso,CL,-33.0393,-71.6273,69.44,59,0,16.11,clear sky
103,Ostrovnoy,RU,68.0531,39.5131,50.25,90,69,14.29,broken clouds
104,Salacgriva,LV,57.7536,24.3581,58.12,87,99,9.71,overcast clouds
105,Colac,AU,-38.3333,143.5833,41.07,94,16,3.49,few clouds
106,Georgetown,MY,5.4112,100.3354,80.53,88,20,3.44,few clouds
107,Puerto Ayora,EC,-0.7393,-90.3518,78.76,91,77,8.99,broken clouds
108,Yaan,NG,7.3833,8.5667,71.08,97,100,8.99,light rain
109,George Town,MY,5.4112,100.3354,80.89,85,20,3.44,few clouds
110,Lasa,IT,46.6166,10.7002,68.88,94,98,2.44,overcast clouds
111,Sakakah,SA,29.9697,40.2064,96.37,10,99,1.97,overcast clouds
112,Kosonsoy,UZ,41.2561,71.5508,73.96,31,78,9.86,broken clouds
113,Port Lincoln,AU,-34.7333,135.8667,52.68,84,98,13.22,overcast clouds
114,Haverfordwest,GB,51.8017,-4.9691,65.79,73,61,6.64,broken clouds
115,Mount Isa,AU,-20.7333,139.5,42.57,56,2,5.75,clear sky
116,Arlit,NE,18.7369,7.3853,86.63,48,100,28.41,overcast clouds
117,Mezen,RU,65.8522,44.24,60.3,96,68,3.94,broken clouds
118,Mabaruma,GY,8.2,-59.7833,83.97,70,24,6.73,few clouds
119,Belaya Gora,RU,68.5333,146.4167,48.92,54,100,12.44,overcast clouds
120,Klyuchi,RU,52.2667,79.1667,67.14,65,58,7.94,broken clouds
121,Ouallam,NE,14.3188,2.0866,89.76,47,92,16.17,light rain
122,Acarau,BR,-2.8856,-40.12,81.1,71,57,18.41,broken clouds
123,Dongzhen,CN,22.3797,110.9389,78.24,92,35,1.54,scattered clouds
124,Singleton,AU,-32.5667,151.1833,48.97,78,100,8.99,overcast clouds
125,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,89,20,20.71,few clouds
126,Kisaran,ID,2.9845,99.6158,74.8,97,100,1.99,overcast clouds
127,Obo,CF,5.3998,26.4869,68.97,97,100,2.71,overcast clouds
128,Chuy,UY,-33.6971,-53.4616,50.32,89,100,14.76,overcast clouds
129,Windsor,CA,42.3001,-83.0165,84.96,50,75,17.27,broken clouds
130,Itarema,BR,-2.9248,-39.9167,80.51,71,35,16.67,scattered clouds
131,Nyurba,RU,63.2842,118.3319,63.3,80,33,5.59,scattered clouds
