City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Te Anau,NZ,2022-07-25 20:17:03,-45.4167,167.7167,38.71,97,100,2.68
68,Touros,BR,2022-07-25 20:17:04,-5.1989,-35.4608,77.32,71,84,16.35
69,Faanui,PF,2022-07-25 20:15:57,-16.4833,-151.75,76.8,80,20,9.53
70,Rikitea,PF,2022-07-25 20:17:04,-23.1203,-134.9692,75.38,70,62,17.6
71,Qaanaaq,GL,2022-07-25 20:17:05,77.484,-69.3632,44.04,69,1,0.83
72,Gazanjyk,TM,2022-07-25 20:17:05,39.2446,55.5154,81.59,54,100,5.91
73,Mataura,NZ,2022-07-25 20:17:06,-46.1927,168.8643,44.47,96,100,11.05
74,Moengo,SR,2022-07-25 20:17:06,5.6167,-54.4,82.13,80,99,4.83
75,Akyab,MM,2022-07-25 20:17:07,20.15,92.9,81.23,80,6,3.29
76,Tabriz,IR,2022-07-25 20:17:07,38.08,46.2919,71.06,49,20,16.11
77,Bathsheba,BB,2022-07-25 20:17:08,13.2167,-59.5167,81.21,94,40,20.71
78,Padang,ID,2022-07-25 20:17:08,-0.9492,100.3543,74.77,90,100,4.9
79,Ouallam,NE,2022-07-25 20:17:09,14.3188,2.0866,92.1,43,89,13.09
80,Kaeo,NZ,2022-07-25 20:17:09,-35.1,173.7833,56.32,97,31,17.54
81,Mahebourg,MU,2022-07-25 20:17:10,-20.4081,57.7,68.29,88,40,9.22
82,Upernavik,GL,2022-07-25 20:17:10,72.7868,-56.1549,39.58,90,52,11.74
83,Bambous Virieux,MU,2022-07-25 20:17:10,-20.3428,57.7575,68.25,88,40,9.22
84,Kaitangata,NZ,2022-07-25 20:13:23,-46.2817,169.8464,46.02,93,100,17.18
85,Sao Joao Da Barra,BR,2022-07-25 20:17:11,-21.6403,-41.0511,75.29,81,0,13.18
86,Malegaon,IN,2022-07-25 20:16:35,20.55,74.5333,75.83,82,100,7.18
87,Terrace,CA,2022-07-25 20:14:48,54.5163,-128.6035,71.51,68,20,2.3
88,Dodge City,US,2022-07-25 20:17:12,37.7528,-100.0171,93.45,37,0,8.05
89,Bredasdorp,ZA,2022-07-25 20:17:12,-34.5322,20.0403,48.97,79,0,3.38
90,Muscle Shoals,US,2022-07-25 20:17:13,34.7448,-87.6675,96.66,56,0,5.01
91,Anadyr,RU,2022-07-25 20:17:13,64.75,177.4833,46.9,81,20,6.71
92,Port Alfred,ZA,2022-07-25 20:18:14,-33.5906,26.891,56.75,71,0,15.5
93,Aswan,EG,2022-07-25 20:18:14,24.0934,32.907,91.78,13,1,9.75
94,Camacha,PT,2022-07-25 20:18:05,33.0833,-16.3333,71.02,78,20,11.5
95,Baruun-Urt,MN,2022-07-25 20:18:15,46.6806,113.2792,59.43,84,99,1.7
96,Floro,NO,2022-07-25 20:15:06,61.5996,5.0328,58.23,100,75,18.41
97,Sechelt,CA,2022-07-25 20:18:15,49.4664,-123.7694,86.45,57,3,8.21
98,Jamestown,US,2022-07-25 20:18:16,42.097,-79.2353,77.52,48,0,18.41
99,Aiquile,BO,2022-07-25 20:18:16,-18.2041,-65.1807,74.8,32,1,9.46
100,Brae,GB,2022-07-25 20:18:17,60.3964,-1.353,50.76,78,100,23.15
101,Punta Gorda,US,2022-07-25 20:18:12,26.9298,-82.0454,93.18,64,40,8.05
102,Kropotkin,RU,2022-07-25 20:18:17,45.4375,40.5756,68.54,76,92,6.96
103,Madang,PG,2022-07-25 20:18:18,-5.2246,145.7966,76.33,89,43,1.63
104,Vostok,RU,2022-07-25 20:18:18,46.4856,135.8833,58.73,98,19,3.15
105,Klyuchi,RU,2022-07-25 20:18:18,52.2667,79.1667,63.32,46,2,5.59
106,Mount Gambier,AU,2022-07-25 20:18:19,-37.8333,140.7667,48.24,67,80,13.69
107,Kavieng,PG,2022-07-25 20:18:19,-2.5744,150.7967,81.14,81,18,17.0
108,Namatanai,PG,2022-07-25 20:13:44,-3.6667,152.4333,78.13,85,27,9.48
109,Pisco,PE,2022-07-25 20:18:20,-13.7,-76.2167,62.65,82,75,6.91
110,Lubao,PH,2022-07-25 20:18:21,14.9167,120.55,80.31,90,100,0.76
111,Butaritari,KI,2022-07-25 20:18:21,3.0707,172.7902,82.06,69,83,20.27
112,Grado,ES,2022-07-25 20:14:43,43.388,-6.0743,67.24,89,75,2.3
113,East London,ZA,2022-07-25 20:18:22,-33.0153,27.9116,57.15,66,0,10.47
114,Ampanihy,MG,2022-07-25 20:18:22,-24.7,44.75,61.2,90,1,3.51
115,Abu Samrah,SY,2022-07-25 20:18:23,35.3029,37.1841,80.6,28,0,9.73
116,Rudbar,AF,2022-07-25 20:18:23,30.15,62.6,86.47,55,100,8.61
117,Bluff,NZ,2022-07-25 20:18:23,-46.6,168.3333,44.8,88,100,26.62
118,Mar Del Plata,AR,2022-07-25 20:18:24,-38.0023,-57.5575,54.09,93,100,12.66
119,Ilulissat,GL,2022-07-25 20:18:24,69.2167,-51.1,46.42,81,75,5.75
120,Cabo San Lucas,MX,2022-07-25 20:15:53,22.8909,-109.9124,94.6,61,20,13.8
121,Ponte De Sor,PT,2022-07-25 20:18:25,39.2496,-8.0101,77.68,55,0,14.85
122,Husavik,IS,2022-07-25 20:18:26,66.0449,-17.3389,48.31,83,100,4.21
123,Dudinka,RU,2022-07-25 20:18:26,69.4058,86.1778,54.63,86,100,10.51
124,Lebu,CL,2022-07-25 20:14:03,-37.6167,-73.65,51.66,90,100,19.06
125,Pucallpa,PE,2022-07-25 20:18:27,-8.3791,-74.5539,87.84,62,75,4.61
126,Souillac,MU,2022-07-25 20:18:27,-20.5167,57.5167,68.38,88,40,9.22
127,Ginir,ET,2022-07-25 20:18:28,7.1333,40.7,65.17,51,86,16.55
128,Khatanga,RU,2022-07-25 20:18:29,71.9667,102.5,64.49,59,35,2.33
129,Izberbash,RU,2022-07-25 20:18:29,42.5696,47.8645,77.09,57,3,6.67
130,Chokurdakh,RU,2022-07-25 20:18:29,70.6333,147.9167,50.32,55,100,13.29
131,Torrington,US,2022-07-25 20:18:30,41.8007,-73.1212,86.68,92,100,11.5
132,Quelimane,MZ,2022-07-25 20:18:30,-17.8786,36.8883,66.15,82,0,0.0
133,Provideniya,RU,2022-07-25 20:18:31,64.3833,-173.3,48.31,71,100,15.66
134,Avarua,CK,2022-07-25 20:18:31,-21.2078,-159.775,71.65,64,46,5.75
135,Yulara,AU,2022-07-25 20:19:32,-25.2406,130.9889,45.36,63,0,10.22
136,Sitka,US,2022-07-25 20:18:09,57.0531,-135.33,57.09,88,100,0.0
137,Golden,US,2022-07-25 20:19:32,39.7555,-105.2211,89.98,34,40,5.75
138,Praia Da Vitoria,PT,2022-07-25 20:19:33,38.7333,-27.0667,79.05,78,75,2.46
