City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,Isangel,VU,74.34,overcast clouds,-19.55,169.2667,Tanna Lodge
160,Teguise,ES,71.82,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
163,Liwale,TZ,71.38,overcast clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
165,Sioux Lookout,CA,60.87,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
166,Kenai,US,68.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
167,Ambon,ID,75.34,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
169,Fairbanks,US,62.1,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
170,Yumen,CN,76.84,broken clouds,40.2833,97.2,
171,Bengkulu,ID,75.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Tyup,KG,61.52,overcast clouds,42.7276,78.3648,"Yurtochnyy Gorodok ""Ybrayym-Nur"""
173,Huangnihe,CN,63.52,broken clouds,43.5583,128.0239,Jinxin Bathing Fashion Hotel
174,Vostok,RU,64.17,overcast clouds,46.4856,135.8833,
175,Praia Da Vitoria,PT,77.25,few clouds,38.7333,-27.0667,Hotel Branco I
176,Biak,ID,74.84,overcast clouds,-0.9131,122.8766,Penginapan Kim
178,Castiglion Fiorentino,IT,75.96,broken clouds,43.3428,11.918,Hotel Planet
180,Chau Doc,VN,77.74,few clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
181,Kutum,SD,78.94,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
182,Kaniama,CD,73.33,broken clouds,-7.5667,24.1833,
187,Ler,SS,71.13,light rain,8.3018,30.1418,Leer Humanitarian Hub
189,Fare,PF,79.18,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
191,Micheweni,TZ,73.85,few clouds,-4.9667,39.8333,
194,Chilca,PE,61.81,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
197,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
